Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Children,Education_Graduate,Education_Postgraduate,Education_Undergraduate,Living_With_Alone,Living_With_Partner
68657.0,4,1,3,5,9,7,0,0,80,494,1196,0,0.0,1.0,0.0,0.0,1.0
49389.0,55,1,2,0,3,7,0,0,75,304,65,2,0.0,1.0,0.0,1.0,0.0
67353.0,37,5,5,6,12,2,0,0,56,180,913,1,0.0,1.0,0.0,0.0,1.0
23718.0,76,3,3,1,2,7,0,0,50,300,81,1,0.0,0.0,1.0,0.0,1.0
42429.0,99,2,1,1,3,5,0,0,53,138,67,1,1.0,0.0,0.0,1.0,0.0
48948.0,53,2,7,10,5,6,0,1,83,513,902,0,0.0,1.0,0.0,1.0,0.0
80011.0,3,2,8,6,5,4,0,0,46,426,1395,1,1.0,0.0,0.0,0.0,1.0
20559.0,88,2,2,0,3,8,0,0,41,474,53,1,0.0,1.0,0.0,0.0,1.0
21994.0,4,1,0,0,3,5,0,0,69,552,22,1,1.0,0.0,0.0,0.0,1.0
51381.5,80,1,1,3,4,2,0,0,67,236,186,0,0.0,1.0,0.0,1.0,0.0
7500.0,19,3,2,0,3,5,0,0,51,270,31,1,0.0,1.0,0.0,0.0,1.0
79941.0,72,1,2,4,9,1,0,0,50,1,984,0,1.0,0.0,0.0,1.0,0.0
7500.0,24,3,3,1,3,9,0,1,30,597,122,0,0.0,0.0,1.0,0.0,1.0
41728.0,92,1,2,0,2,10,0,0,58,401,55,1,1.0,0.0,0.0,0.0,1.0
51381.5,96,3,2,1,4,6,0,0,75,179,124,3,1.0,0.0,0.0,1.0,0.0
72550.0,39,9,5,2,12,8,0,0,72,598,1319,2,0.0,1.0,0.0,0.0,1.0
65486.0,29,1,4,2,10,2,0,0,69,48,507,1,1.0,0.0,0.0,1.0,0.0
79143.0,2,1,6,9,13,3,0,0,62,687,1693,0,0.0,1.0,0.0,0.0,1.0
35790.0,54,2,2,0,3,7,0,0,49,543,72,1,1.0,0.0,0.0,1.0,0.0
82582.0,54,1,4,9,7,1,0,1,49,22,1617,0,1.0,0.0,0.0,1.0,0.0
66373.0,57,7,4,2,10,3,0,0,48,382,606,2,1.0,0.0,0.0,0.0,1.0
82384.0,55,1,3,10,13,1,0,1,71,587,1957,0,0.0,1.0,0.0,0.0,1.0
70287.0,30,1,5,5,10,3,0,1,60,453,1093,0,1.0,0.0,0.0,1.0,0.0
27938.0,31,1,1,0,4,3,0,0,38,62,29,1,1.0,0.0,0.0,1.0,0.0
51381.5,57,2,2,0,3,6,0,0,44,377,46,1,1.0,0.0,0.0,1.0,0.0
55954.0,63,3,8,2,6,7,0,0,58,118,518,1,0.0,1.0,0.0,0.0,1.0
75777.0,12,1,3,6,11,1,0,1,44,360,1438,0,0.0,1.0,0.0,1.0,0.0
66653.0,18,4,4,2,12,3,0,0,51,660,612,2,1.0,0.0,0.0,0.0,1.0
61823.0,26,4,8,2,10,7,0,0,74,496,884,1,1.0,0.0,0.0,1.0,0.0
67680.0,8,1,7,3,8,5,0,0,75,383,606,1,0.0,1.0,0.0,1.0,0.0
70666.0,29,1,7,4,4,4,0,0,78,205,1076,0,1.0,0.0,0.0,0.0,1.0
25721.0,75,1,1,1,2,7,0,1,55,404,34,1,1.0,0.0,0.0,0.0,1.0
32474.0,0,1,1,0,2,7,0,0,59,49,11,2,1.0,0.0,0.0,0.0,1.0
88194.0,19,1,11,10,10,5,0,1,47,102,1274,1,0.0,0.0,1.0,1.0,0.0
69096.0,4,1,5,2,10,4,0,0,68,275,653,1,1.0,0.0,0.0,0.0,1.0
74854.0,90,7,2,5,5,5,0,0,56,447,1562,3,1.0,0.0,0.0,0.0,1.0
66991.0,1,3,4,8,6,3,0,0,72,656,1253,0,0.0,1.0,0.0,0.0,1.0
51381.5,25,3,3,0,3,8,0,0,53,653,109,1,0.0,0.0,1.0,0.0,1.0
65031.0,29,4,10,3,13,7,0,0,67,469,863,1,1.0,0.0,0.0,0.0,1.0
60631.0,88,5,9,2,8,7,0,0,51,450,661,2,0.0,1.0,0.0,0.0,1.0
28332.0,58,1,2,1,4,2,0,0,74,60,65,0,1.0,0.0,0.0,0.0,1.0
40246.0,68,1,1,0,2,6,0,0,49,557,13,1,1.0,0.0,0.0,1.0,0.0
75251.0,34,1,7,6,5,5,0,1,54,671,1890,0,0.0,1.0,0.0,0.0,1.0
75825.0,40,0,5,8,9,4,0,1,50,625,2209,0,1.0,0.0,0.0,1.0,0.0
26326.0,12,1,0,0,3,3,1,0,50,298,18,0,0.0,0.0,1.0,0.0,1.0
56046.0,9,2,10,1,8,8,0,1,61,543,692,0,1.0,0.0,0.0,0.0,1.0
29760.0,87,4,3,1,4,8,0,0,41,669,165,1,1.0,0.0,0.0,1.0,0.0
26304.0,5,1,1,0,2,7,0,0,57,371,16,1,1.0,0.0,0.0,0.0,1.0
23559.0,87,3,3,0,3,7,0,0,53,361,79,1,0.0,0.0,1.0,0.0,1.0
38620.0,56,1,2,5,3,3,0,0,63,414,318,0,0.0,1.0,0.0,0.0,1.0
81361.0,18,1,3,10,13,1,0,0,39,124,778,0,1.0,0.0,0.0,1.0,0.0
29440.0,95,2,1,0,4,7,0,0,66,322,56,2,1.0,0.0,0.0,0.0,1.0
36138.0,48,5,3,1,4,7,0,0,56,348,151,2,0.0,1.0,0.0,0.0,1.0
50388.0,3,4,6,1,6,7,0,1,69,32,372,1,1.0,0.0,0.0,1.0,0.0
79593.0,70,1,5,6,7,2,0,0,53,48,1366,0,1.0,0.0,0.0,0.0,1.0
54178.0,79,1,2,2,5,2,0,0,59,159,194,1,1.0,0.0,0.0,0.0,1.0
51381.5,4,12,7,2,8,9,0,0,69,587,603,3,0.0,1.0,0.0,0.0,1.0
51381.5,45,1,1,0,2,7,0,0,69,33,18,2,1.0,0.0,0.0,1.0,0.0
51381.5,87,1,2,4,8,1,0,0,53,218,985,0,0.0,1.0,0.0,0.0,1.0
42394.0,69,1,1,0,3,7,0,0,54,98,32,1,0.0,1.0,0.0,1.0,0.0
23626.0,84,3,3,1,3,5,0,0,56,36,43,1,0.0,1.0,0.0,0.0,1.0
30096.0,30,1,2,0,3,6,0,0,43,38,45,1,1.0,0.0,0.0,0.0,1.0
47916.0,72,5,7,4,6,6,0,0,66,584,606,1,1.0,0.0,0.0,1.0,0.0
51813.0,37,2,2,0,3,7,0,0,54,444,63,2,1.0,0.0,0.0,1.0,0.0
78497.0,44,1,5,7,12,2,0,0,75,210,978,0,0.0,0.0,1.0,0.0,1.0
50150.0,32,2,5,2,7,5,0,0,43,374,410,0,0.0,1.0,0.0,0.0,1.0
47823.0,0,2,2,0,3,8,0,0,66,341,72,1,0.0,0.0,1.0,1.0,0.0
34554.0,43,2,2,0,3,6,0,0,67,91,55,1,0.0,1.0,0.0,1.0,0.0
85693.0,59,2,9,5,11,5,0,0,47,435,1169,1,1.0,0.0,0.0,0.0,1.0
65846.0,68,1,6,3,6,4,0,0,81,408,1120,0,0.0,1.0,0.0,0.0,1.0
87195.0,35,1,3,11,5,1,0,1,67,52,1097,0,1.0,0.0,0.0,0.0,1.0
24594.0,94,1,1,0,3,5,0,0,47,201,29,1,0.0,0.0,1.0,0.0,1.0
49096.0,15,4,4,1,4,7,0,0,62,278,187,2,1.0,0.0,0.0,0.0,1.0
52413.0,56,4,6,4,12,6,0,0,57,512,910,2,1.0,0.0,0.0,0.0,1.0
38557.0,17,2,3,1,3,7,0,0,48,557,145,1,1.0,0.0,0.0,1.0,0.0
89058.0,18,1,5,4,4,2,0,0,66,569,850,0,0.0,1.0,0.0,0.0,1.0
77298.0,46,1,6,6,11,3,0,0,47,239,969,1,1.0,0.0,0.0,0.0,1.0
68126.0,40,1,7,4,5,9,0,1,35,596,1820,0,0.0,1.0,0.0,1.0,0.0
57288.0,27,3,8,1,8,6,0,0,63,4,608,1,0.0,1.0,0.0,0.0,1.0
86037.0,95,1,6,7,11,3,0,1,35,543,730,0,1.0,0.0,0.0,1.0,0.0
43974.0,19,5,6,4,6,7,0,0,46,564,551,1,0.0,1.0,0.0,0.0,1.0
50785.0,27,2,2,1,3,6,0,0,64,292,114,2,1.0,0.0,0.0,1.0,0.0
90765.0,25,0,4,6,5,1,0,0,56,156,1724,0,1.0,0.0,0.0,0.0,1.0
36550.0,74,5,9,1,5,9,0,0,48,495,577,1,0.0,0.0,1.0,0.0,1.0
30753.0,85,2,1,1,3,5,0,0,59,353,81,2,0.0,0.0,1.0,0.0,1.0
21918.0,37,2,2,0,3,6,0,0,57,227,33,1,1.0,0.0,0.0,0.0,1.0
56129.0,65,4,6,2,10,4,0,0,73,374,660,1,0.0,1.0,0.0,0.0,1.0
32557.0,13,3,2,1,3,5,0,1,59,125,80,1,0.0,1.0,0.0,1.0,0.0
19510.0,63,2,1,0,3,7,0,0,41,298,30,2,0.0,1.0,0.0,0.0,1.0
30992.0,83,1,1,0,3,7,0,0,50,433,43,1,1.0,0.0,0.0,1.0,0.0
101970.0,69,0,6,8,13,2,0,1,43,474,1135,0,1.0,0.0,0.0,1.0,0.0
71488.0,87,2,3,4,7,1,0,0,61,496,559,0,0.0,0.0,1.0,0.0,1.0
79607.0,37,1,3,6,6,1,0,1,42,434,1923,0,1.0,0.0,0.0,1.0,0.0
54348.0,51,2,2,0,4,6,0,0,73,21,90,2,0.0,1.0,0.0,0.0,1.0
51381.5,23,3,6,1,7,6,0,0,65,353,404,1,0.0,1.0,0.0,0.0,1.0
77376.0,72,4,6,3,10,4,0,0,70,50,661,2,0.0,1.0,0.0,0.0,1.0
62998.0,10,5,5,4,5,5,0,0,74,272,463,1,1.0,0.0,0.0,0.0,1.0
61331.0,42,5,11,1,6,8,0,0,68,476,632,2,0.0,1.0,0.0,1.0,0.0
73448.0,10,1,7,2,9,4,0,0,57,139,725,0,1.0,0.0,0.0,0.0,1.0
51381.5,96,1,6,5,7,4,0,0,63,322,725,1,1.0,0.0,0.0,0.0,1.0
41551.0,51,5,5,1,5,8,0,0,62,319,279,2,0.0,1.0,0.0,0.0,1.0
62981.0,21,1,4,5,13,3,0,0,59,469,1482,0,0.0,1.0,0.0,0.0,1.0
9548.0,31,2,1,0,3,8,0,0,50,690,29,1,0.0,0.0,1.0,1.0,0.0
33762.0,61,3,2,2,2,8,0,0,67,357,106,3,0.0,1.0,0.0,0.0,1.0
35860.0,37,2,1,1,2,5,0,1,53,41,49,2,0.0,1.0,0.0,1.0,0.0
36921.0,74,2,2,0,3,7,0,0,61,336,38,2,0.0,1.0,0.0,1.0,0.0
92859.0,46,1,5,4,12,2,0,0,34,618,2077,0,0.0,1.0,0.0,1.0,0.0
65104.0,4,2,3,5,7,7,0,1,50,227,1053,1,0.0,1.0,0.0,0.0,1.0
86111.0,73,1,5,7,10,2,0,0,64,436,1385,0,1.0,0.0,0.0,0.0,1.0
68352.0,47,3,8,5,9,6,0,0,52,305,871,1,0.0,1.0,0.0,1.0,0.0
41883.0,13,3,4,2,3,7,0,0,38,467,312,1,1.0,0.0,0.0,0.0,1.0
59809.0,36,3,3,3,6,8,0,0,50,619,877,2,1.0,0.0,0.0,0.0,1.0
23957.0,47,1,2,0,3,6,0,1,51,609,68,1,1.0,0.0,0.0,0.0,1.0
38547.0,49,1,1,0,2,8,1,0,45,305,22,1,1.0,0.0,0.0,0.0,1.0
35688.0,94,7,4,1,4,8,0,0,53,676,211,3,0.0,0.0,1.0,0.0,1.0
49605.0,65,1,2,1,4,3,0,0,60,8,127,0,0.0,1.0,0.0,0.0,1.0
59354.0,59,1,4,4,7,3,0,0,73,66,459,2,0.0,1.0,0.0,0.0,1.0
65747.0,96,4,8,1,6,6,0,0,57,114,460,1,1.0,0.0,0.0,0.0,1.0
46344.0,28,4,7,1,5,7,0,0,54,562,429,1,0.0,0.0,1.0,0.0,1.0
34176.0,12,4,3,0,4,6,0,0,38,48,89,1,1.0,0.0,0.0,1.0,0.0
61010.0,57,2,8,5,11,5,0,0,74,628,1021,1,0.0,1.0,0.0,0.0,1.0
69372.0,10,1,10,4,6,4,0,1,77,495,1381,0,1.0,0.0,0.0,0.0,1.0
49967.0,4,3,6,1,5,7,0,0,68,356,306,1,1.0,0.0,0.0,1.0,0.0
60199.0,49,1,0,0,3,4,0,0,48,290,18,3,1.0,0.0,0.0,1.0,0.0
55375.0,3,1,1,1,6,2,0,0,49,255,162,1,1.0,0.0,0.0,0.0,1.0
80317.0,64,1,3,4,10,1,0,0,71,313,1231,0,1.0,0.0,0.0,1.0,0.0
30523.0,0,1,1,0,2,7,0,0,68,363,13,3,0.0,1.0,0.0,1.0,0.0
70356.0,20,2,10,6,9,6,0,0,81,601,1706,0,0.0,1.0,0.0,0.0,1.0
23228.0,91,4,3,0,4,8,0,0,42,175,121,1,1.0,0.0,0.0,0.0,1.0
74165.0,9,1,5,4,10,2,0,0,51,424,1293,0,0.0,1.0,0.0,1.0,0.0
157243.0,98,15,0,22,0,0,0,0,53,120,1608,1,0.0,1.0,0.0,0.0,1.0
43482.0,83,3,2,0,4,6,0,0,60,228,88,3,1.0,0.0,0.0,0.0,1.0
62551.0,27,1,6,7,4,3,0,0,73,223,421,0,1.0,0.0,0.0,1.0,0.0
52332.0,63,1,3,2,6,4,0,0,67,305,259,0,1.0,0.0,0.0,1.0,0.0
66951.0,46,1,3,4,7,1,0,0,38,239,1117,0,1.0,0.0,0.0,1.0,0.0
26091.0,84,3,2,1,3,5,0,0,69,124,89,2,1.0,0.0,0.0,0.0,1.0
33456.0,58,2,1,0,3,7,0,0,61,69,36,2,1.0,0.0,0.0,0.0,1.0
28718.0,78,2,2,0,3,8,0,0,44,351,57,1,1.0,0.0,0.0,0.0,1.0
50447.0,4,1,3,1,3,6,0,0,56,69,148,2,1.0,0.0,0.0,0.0,1.0
53537.0,17,2,2,1,3,5,0,0,67,150,93,2,0.0,1.0,0.0,0.0,1.0
52074.0,77,1,2,2,2,4,0,0,59,86,119,1,1.0,0.0,0.0,1.0,0.0
80427.0,56,1,11,8,8,5,0,0,51,655,1835,1,0.0,1.0,0.0,0.0,1.0
83837.0,79,1,9,10,5,4,0,1,78,560,1318,0,0.0,1.0,0.0,0.0,1.0
38853.0,90,2,2,0,3,7,0,0,56,37,45,2,0.0,1.0,0.0,0.0,1.0
38285.0,96,1,0,0,3,2,0,0,67,5,10,3,1.0,0.0,0.0,0.0,1.0
78497.0,44,1,5,7,12,2,0,0,75,210,978,0,0.0,0.0,1.0,0.0,1.0
51650.0,81,1,4,1,4,5,0,0,50,49,191,1,0.0,1.0,0.0,0.0,1.0
16248.0,77,3,2,1,3,6,0,0,38,50,57,1,0.0,0.0,1.0,0.0,1.0
66835.0,21,1,6,4,13,2,0,0,80,274,1033,0,0.0,1.0,0.0,0.0,1.0
30477.0,16,1,1,1,3,6,0,0,42,158,66,1,0.0,1.0,0.0,0.0,1.0
28249.0,80,1,2,0,3,6,0,0,65,14,43,0,0.0,0.0,1.0,0.0,1.0
25271.0,45,1,1,1,2,9,0,0,43,571,50,1,1.0,0.0,0.0,0.0,1.0
32303.0,63,2,1,0,4,5,0,0,56,113,39,1,0.0,1.0,0.0,1.0,0.0
61286.0,34,2,7,1,8,5,0,0,60,331,608,1,1.0,0.0,0.0,0.0,1.0
74068.0,14,1,4,10,9,2,0,0,50,467,1581,0,1.0,0.0,0.0,0.0,1.0
45759.0,13,2,2,0,3,7,0,0,62,491,68,2,0.0,1.0,0.0,0.0,1.0
24882.0,52,1,1,1,2,6,0,0,48,658,80,1,0.0,0.0,1.0,0.0,1.0
66973.0,98,1,8,7,12,3,0,0,37,408,1282,0,0.0,1.0,0.0,0.0,1.0
38872.0,93,2,3,0,3,8,0,0,38,395,91,1,1.0,0.0,0.0,0.0,1.0
51148.0,38,4,5,1,6,6,0,0,53,496,315,2,1.0,0.0,0.0,0.0,1.0
31353.0,24,2,1,1,2,8,0,0,49,182,31,2,1.0,0.0,0.0,0.0,1.0
69661.0,80,1,7,3,12,3,0,0,46,47,834,0,0.0,1.0,0.0,0.0,1.0
80067.0,82,1,4,6,6,2,0,0,72,283,1600,0,1.0,0.0,0.0,0.0,1.0
86718.0,20,1,5,6,5,2,0,0,72,528,1270,0,1.0,0.0,0.0,0.0,1.0
46854.0,81,6,5,1,3,8,0,1,53,90,263,2,0.0,1.0,0.0,1.0,0.0
69142.0,50,3,8,1,7,5,0,0,74,0,535,1,1.0,0.0,0.0,1.0,0.0
75922.0,60,1,4,4,9,1,0,0,58,202,1295,0,1.0,0.0,0.0,1.0,0.0
63693.0,63,3,11,6,9,6,0,0,48,258,1150,1,1.0,0.0,0.0,1.0,0.0
102160.0,54,0,7,9,10,4,0,1,49,604,1240,0,0.0,1.0,0.0,0.0,1.0
40637.0,72,2,1,0,3,7,0,0,61,347,38,2,0.0,1.0,0.0,1.0,0.0
18890.0,5,1,0,1,2,6,0,1,42,596,35,0,0.0,1.0,0.0,1.0,0.0
29604.0,88,1,1,0,3,9,0,0,38,203,53,1,1.0,0.0,0.0,0.0,1.0
48721.0,50,6,4,2,5,6,0,0,63,412,293,2,0.0,1.0,0.0,1.0,0.0
44794.0,99,1,2,0,3,6,0,0,60,21,65,1,1.0,0.0,0.0,0.0,1.0
64497.0,17,5,11,4,9,8,0,1,72,657,1804,1,1.0,0.0,0.0,1.0,0.0
46097.0,11,5,3,1,6,4,0,0,70,455,241,1,1.0,0.0,0.0,0.0,1.0
77972.0,18,1,4,6,9,1,0,0,72,103,1101,0,1.0,0.0,0.0,0.0,1.0
44377.0,70,8,5,1,5,8,0,0,58,632,264,2,0.0,1.0,0.0,0.0,1.0
46014.0,21,10,7,1,8,7,0,0,52,524,541,2,0.0,1.0,0.0,0.0,1.0
70951.0,66,1,3,4,9,1,0,0,41,421,1198,0,1.0,0.0,0.0,0.0,1.0
41443.0,79,6,8,1,5,8,0,0,49,89,482,1,1.0,0.0,0.0,0.0,1.0
52195.0,2,1,1,0,2,8,0,0,48,48,17,3,0.0,0.0,1.0,1.0,0.0
83790.0,81,1,8,10,6,3,0,0,78,226,1615,0,0.0,1.0,0.0,0.0,1.0
44551.0,24,2,4,1,5,7,0,0,72,302,285,1,0.0,1.0,0.0,1.0,0.0
69508.0,48,2,11,4,11,6,0,0,46,592,1135,1,1.0,0.0,0.0,0.0,1.0
45204.0,93,1,1,1,4,3,0,0,38,79,114,1,0.0,0.0,1.0,0.0,1.0
72460.0,56,1,3,5,7,1,0,0,57,227,1047,0,1.0,0.0,0.0,0.0,1.0
77622.0,3,2,6,3,11,3,0,0,56,76,714,2,0.0,1.0,0.0,0.0,1.0
30732.0,44,4,4,1,4,8,0,0,46,540,185,1,0.0,1.0,0.0,0.0,1.0
63887.0,38,5,9,6,12,6,0,0,64,659,1245,1,1.0,0.0,0.0,1.0,0.0
42011.0,46,4,3,1,4,8,0,0,48,460,189,1,1.0,0.0,0.0,0.0,1.0
51369.0,84,2,8,2,4,8,0,0,50,612,576,1,1.0,0.0,0.0,0.0,1.0
51537.0,27,3,2,2,11,8,0,0,74,567,1103,1,1.0,0.0,0.0,1.0,0.0
79930.0,72,1,3,5,8,2,0,0,54,690,1753,0,0.0,1.0,0.0,0.0,1.0
34320.0,66,1,1,0,2,8,0,0,40,133,17,1,0.0,1.0,0.0,0.0,1.0
37070.0,30,9,5,1,8,7,0,1,60,466,433,2,1.0,0.0,0.0,1.0,0.0
81975.0,2,1,6,3,4,7,0,0,64,540,1588,1,0.0,0.0,1.0,1.0,0.0
38590.0,65,1,1,0,2,8,0,0,55,410,22,1,1.0,0.0,0.0,0.0,1.0
15033.0,37,1,1,0,3,3,0,0,75,74,19,0,1.0,0.0,0.0,1.0,0.0
62745.0,89,3,7,8,11,5,0,0,61,463,1117,1,0.0,1.0,0.0,0.0,1.0
22212.0,49,2,2,0,4,6,0,0,51,202,69,1,0.0,0.0,1.0,0.0,1.0
23661.0,46,1,1,0,3,7,0,0,44,207,23,1,0.0,1.0,0.0,0.0,1.0
79761.0,32,1,5,2,11,3,0,0,68,268,605,1,0.0,1.0,0.0,1.0,0.0
7500.0,54,4,3,1,3,7,0,0,53,185,57,1,1.0,0.0,0.0,1.0,0.0
73455.0,98,1,6,5,10,3,0,0,58,244,2088,0,1.0,0.0,0.0,1.0,0.0
64961.0,97,2,6,4,4,3,0,0,68,553,1009,1,1.0,0.0,0.0,0.0,1.0
22804.0,75,1,2,0,2,9,0,0,55,333,26,1,1.0,0.0,0.0,1.0,0.0
73687.0,8,1,3,9,9,2,0,1,36,213,1627,0,1.0,0.0,0.0,0.0,1.0
61074.0,37,7,11,5,8,7,0,0,68,681,1102,1,1.0,0.0,0.0,0.0,1.0
31686.0,31,2,1,0,3,6,0,0,62,24,17,2,0.0,1.0,0.0,0.0,1.0
80134.0,40,2,5,3,6,6,0,1,54,405,1690,1,1.0,0.0,0.0,0.0,1.0
75027.0,74,2,9,4,6,5,0,0,73,536,1390,1,1.0,0.0,0.0,0.0,1.0
67546.0,90,1,4,10,5,3,0,0,38,667,2126,0,0.0,1.0,0.0,0.0,1.0
65176.0,57,4,9,6,6,6,0,0,57,608,1531,1,0.0,1.0,0.0,0.0,1.0
31160.0,59,2,2,0,3,8,0,0,51,286,64,1,0.0,1.0,0.0,1.0,0.0
29938.0,52,2,1,0,3,6,0,0,41,245,26,1,1.0,0.0,0.0,1.0,0.0
102692.0,5,1,6,9,13,2,0,1,52,450,1112,0,1.0,0.0,0.0,1.0,0.0
26490.0,92,2,3,1,5,6,0,0,68,645,210,0,0.0,0.0,1.0,0.0,1.0
75702.0,77,5,4,6,11,8,0,0,59,669,1148,2,1.0,0.0,0.0,0.0,1.0
30899.0,35,2,1,0,3,6,0,0,52,624,33,1,0.0,1.0,0.0,1.0,0.0
63342.0,48,3,8,3,5,6,0,0,65,621,1101,1,0.0,1.0,0.0,0.0,1.0
45989.0,97,4,3,2,7,3,0,0,62,615,322,1,1.0,0.0,0.0,1.0,0.0
18701.0,95,4,2,0,4,5,0,0,62,390,44,2,1.0,0.0,0.0,1.0,0.0
40737.0,24,1,1,0,2,8,0,0,69,203,17,3,0.0,1.0,0.0,1.0,0.0
15287.0,60,2,1,1,2,7,0,1,47,627,31,1,1.0,0.0,0.0,1.0,0.0
69674.0,46,3,10,2,10,5,0,0,58,403,845,2,0.0,1.0,0.0,1.0,0.0
44159.0,85,4,4,1,6,5,0,0,56,12,275,1,0.0,1.0,0.0,0.0,1.0
37717.0,31,1,1,0,2,9,0,0,48,583,25,1,0.0,1.0,0.0,0.0,1.0
43776.0,9,6,5,2,4,8,0,1,74,511,275,2,0.0,1.0,0.0,0.0,1.0
38179.0,30,4,3,1,3,7,0,0,60,472,90,2,0.0,1.0,0.0,0.0,1.0
80124.0,47,1,3,7,8,1,0,0,63,3,1495,0,1.0,0.0,0.0,0.0,1.0
38097.0,70,4,3,2,2,7,0,1,56,622,184,2,0.0,1.0,0.0,0.0,1.0
72940.0,13,1,3,3,6,1,0,0,56,375,981,0,1.0,0.0,0.0,0.0,1.0
22070.0,11,2,2,2,2,6,0,0,56,268,67,1,1.0,0.0,0.0,0.0,1.0
69267.0,31,2,3,4,5,7,0,1,73,645,1635,0,1.0,0.0,0.0,1.0,0.0
31788.0,15,3,3,0,4,5,1,0,43,101,60,1,0.0,1.0,0.0,1.0,0.0
61905.0,2,2,4,2,4,5,0,0,51,145,231,1,0.0,1.0,0.0,0.0,1.0
29315.0,55,4,2,0,4,6,0,0,66,84,48,2,1.0,0.0,0.0,0.0,1.0
33378.0,38,3,2,0,4,7,0,0,63,508,99,2,1.0,0.0,0.0,1.0,0.0
66313.0,86,2,6,3,12,4,0,0,63,286,770,1,0.0,1.0,0.0,0.0,1.0
60714.0,56,2,7,4,10,5,0,1,70,528,957,0,1.0,0.0,0.0,1.0,0.0
77882.0,29,1,3,3,5,1,0,0,45,60,818,0,0.0,1.0,0.0,0.0,1.0
69867.0,30,1,3,5,8,1,0,1,40,453,925,0,0.0,1.0,0.0,1.0,0.0
63841.0,64,1,9,3,9,6,0,0,58,434,908,1,0.0,1.0,0.0,1.0,0.0
